Rank,Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
109,Nocturne,Jungle,50.51%,2.32%,0.06%,4.84,7.71,5.97,6.40,9,16132,28249,10359,51.5,7.96,79.80,12140,21,2
110,Nunu,Jungle,45.74%,0.77%,0.02%,4.31,3.47,5.32,9.97,7,10030,35755,14322,41.1,9.35,63.03,10410,47,3
111,Nunu,Support,39.02%,0.20%,0.02%,7.14,2.86,7.23,11.53,6,10721,23731,5024,39.3,0.96,3.37,9524,34,0
112,Nunu,Top,40.26%,0.27%,0.02%,5.44,4.18,6.68,6.84,7,16174,27688,8384,142.7,1.75,3.47,10375,55,2
113,Olaf,Jungle,48.76%,0.97%,0.06%,4.52,6.18,5.60,7.52,8,15240,34205,9173,51.2,8.29,71.10,11436,33,3
114,Olaf,Top,49.21%,1.45%,0.06%,5.39,5.96,5.97,5.61,8,18559,27708,3811,171.5,2.40,2.98,11458,43,0
115,Orianna,Middle,50.40%,7.45%,0.19%,6.83,5.47,5.33,8.55,8,18902,16372,1742,177.4,1.89,9.36,11594,21,8
116,Ornn,Top,48.93%,6.78%,4.37%,1.55,4.08,5.12,8.28,8,17464,26140,2151,162.8,0.76,1.52,10729,3,0
117,Pantheon,Jungle,51.44%,0.95%,0.93%,9.03,7.59,6.07,6.91,8,15854,23502,6671,48.8,5.45,56.79,11229,24,1
118,Pantheon,Top,51.86%,3.04%,0.93%,6.28,7.60,6.23,5.68,9,19466,20581,2424,150.7,1.38,2.59,11450,30,14
119,Poppy,Jungle,48.46%,0.43%,0.02%,7.52,5.41,5.15,8.30,7,14036,27921,6519,43.1,6.37,63.45,10889,41,0
120,Poppy,Support,47.28%,0.38%,0.02%,7.45,3.13,5.50,10.56,6,10585,22533,3956,49.3,0.45,1.46,9488,33,1
121,Poppy,Top,49.79%,1.81%,0.02%,4.46,4.35,4.57,6.81,8,16402,26377,2649,155.4,1.18,1.90,10687,46,2
122,Quinn,ADC,50.48%,0.27%,0.04%,9.56,8.44,7.09,7.55,11,21295,21107,3650,168.8,2.42,5.97,12699,13,2
123,Quinn,Jungle,47.47%,0.34%,0.04%,8.96,8.04,7.43,7.36,10,18308,24416,6940,54.5,7.24,63.53,11864,44,4
124,Quinn,Top,51.14%,1.08%,0.04%,5.93,7.85,7.25,6.10,10,21141,20500,2139,162.9,2.34,3.83,12036,44,6
125,Rakan,Support,50.37%,5.78%,0.22%,5.34,1.75,5.33,14.09,5,7060,17533,5505,16.1,0.09,0.13,9549,22,0
126,Rammus,Jungle,55.48%,5.98%,1.39%,3.70,5.03,5.27,10.69,8,13871,30895,7468,38.5,5.68,66.37,10843,4,4
127,Rek'Sai,Jungle,48.62%,1.87%,0.06%,5.13,6.74,5.58,7.48,8,13530,30464,11790,34.9,9.08,72.46,11340,38,1
128,Renekton,Top,46.83%,2.70%,0.13%,5.71,5.03,5.60,5.54,11,16028,31592,6630,183.9,2.32,3.43,11518,38,1
129,Rengar,Jungle,48.24%,6.73%,0.79%,5.83,8.01,6.51,5.47,9,17022,28781,10723,44.6,10.35,77.42,11914,15,1
130,Rengar,Top,49.46%,1.43%,0.79%,12.85,8.16,6.75,4.84,10,19794,25910,5958,157.6,4.51,7.33,11988,37,5
131,Riven,Jungle,48.24%,1.37%,0.63%,26.28,7.37,5.91,5.50,9,15212,24329,7513,60.5,8.84,69.27,11750,39,0
132,Riven,Top,50.03%,10.14%,0.63%,11.71,6.93,5.98,4.56,11,17245,21813,3212,176.8,3.05,4.81,11840,11,13
133,Rumble,Top,48.81%,2.21%,0.06%,5.95,5.36,5.92,7.06,7,21463,21967,1697,172.5,1.23,2.94,11290,39,6
134,Ryze,Middle,45.57%,3.94%,0.12%,4.96,5.35,5.34,6.26,8,18859,21089,4123,181.9,2.44,10.21,11454,42,1
135,Ryze,Top,45.17%,1.00%,0.12%,6.69,4.64,5.83,5.51,8,18751,21564,3768,186.8,2.32,5.57,11425,52,0
136,Sejuani,Jungle,52.31%,4.60%,0.44%,4.80,4.33,4.48,11.04,6,11892,32233,6938,38.8,6.27,66.33,10647,12,6
137,Shaco,Jungle,51.87%,4.07%,0.24%,8.90,7.55,5.71,6.55,10,15411,25155,7507,46.7,11.67,68.30,11872,14,2
138,Shen,Support,51.87%,1.20%,0.13%,10.76,2.70,4.80,12.96,5,8179,21237,4143,49.2,0.26,0.57,9399,26,8
139,Shen,Top,50.14%,4.75%,0.13%,5.06,3.80,4.30,9.45,7,13396,25580,2465,151.3,0.86,1.78,10518,29,14
140,Shyvana,Jungle,53.49%,6.16%,0.57%,3.79,6.39,4.86,6.36,8,16075,32436,9125,55.5,11.77,81.07,12168,5,0
141,Singed,Top,52.46%,3.34%,0.22%,5.85,4.36,6.31,7.61,7,19649,29595,2258,197.8,1.58,1.18,11630,9,0
142,Sion,Support,53.27%,0.64%,0.06%,9.80,3.29,6.27,12.01,7,13011,27605,15606,59.8,0.54,0.98,10000,11,1
143,Sion,Top,52.91%,3.03%,0.06%,5.71,4.36,5.05,8.09,8,17462,31302,13934,173.8,1.17,1.45,11180,12,30
144,Sivir,ADC,50.78%,2.97%,0.02%,3.58,6.01,5.74,8.15,9,20068,18378,3868,215.9,2.42,8.11,13139,10,2
145,Skarner,Jungle,48.64%,0.78%,0.01%,4.32,4.43,5.22,8.47,7,10607,26995,7289,37.8,7.52,75.03,10824,46,4
146,Sona,Support,51.74%,4.86%,0.19%,6.64,2.68,6.02,13.41,7,11840,16580,10565,17.7,0.23,0.41,9657,12,10
147,Soraka,Support,51.69%,6.09%,0.57%,6.40,1.02,5.36,14.27,4,6011,13723,20506,15.4,0.07,0.15,9227,8,2
148,Swain,Middle,50.16%,0.59%,0.04%,9.81,5.51,5.60,7.73,8,22421,29315,10697,165.6,1.47,6.92,11295,36,2
149,Swain,Top,50.45%,1.09%,0.04%,7.66,4.42,5.47,7.00,7,21819,29253,10655,177.7,1.29,3.19,11260,25,6
150,Syndra,Middle,47.23%,3.65%,0.25%,5.62,6.32,6.14,6.12,10,20267,17629,1747,180.2,1.69,8.13,11743,39,1
151,Tahm Kench,Support,50.84%,2.89%,0.20%,4.49,2.58,4.98,11.54,6,9617,24504,6412,46.5,0.18,0.28,9251,27,2
152,Tahm Kench,Top,49.38%,1.03%,0.20%,7.11,5.27,5.04,6.90,6,16979,31862,6105,148.6,0.97,1.48,10815,41,5
153,Taliyah,Middle,48.72%,3.07%,0.04%,5.88,6.16,6.25,7.75,9,21850,19637,2363,172.4,1.93,8.31,11652,32,4
154,Talon,Middle,51.00%,2.65%,0.27%,6.49,9.19,6.63,5.43,10,20797,23367,3904,164.3,2.30,5.30,12256,22,5
155,Talon,Top,51.22%,0.56%,0.27%,11.56,8.31,6.58,4.83,9,20583,23012,3768,171.8,2.16,2.90,12093,32,3
156,Taric,Support,54.25%,3.42%,0.09%,4.94,1.54,4.66,13.87,4,5872,20027,10487,43.7,0.12,0.17,8967,16,3
157,Teemo,Support,51.00%,1.54%,1.90%,14.37,5.02,7.20,8.94,9,23957,18830,1914,46.0,1.26,1.76,11074,9,1
158,Teemo,Top,53.95%,7.41%,1.90%,6.17,5.51,6.09,5.59,9,25758,20860,3120,180.2,2.27,2.94,11904,2,0
159,Thresh,Support,50.51%,16.64%,0.74%,10.62,2.29,5.63,14.09,5,8319,20677,3011,32.4,0.11,0.13,8969,6,1
160,Tristana,ADC,50.84%,11.14%,0.49%,4.76,7.58,5.62,6.19,9,19606,18935,3445,194.0,2.54,8.64,12938,6,1
161,Trundle,Jungle,51.06%,0.77%,0.05%,5.75,5.47,5.21,7.85,7,13223,35058,16136,47.7,7.80,67.53,11241,30,4
162,Trundle,Top,49.05%,2.01%,0.05%,3.90,4.27,5.20,6.06,7,14792,32964,10475,172.0,2.13,3.04,11174,40,4
163,Tryndamere,Jungle,48.61%,0.54%,0.11%,13.07,6.02,5.57,5.28,8,14335,34658,14595,71.5,11.48,74.13,12158,32,6
164,Tryndamere,Top,48.39%,2.00%,0.11%,6.62,5.35,5.87,4.06,10,15896,31226,8450,194.4,6.24,7.18,12251,35,5
165,Twisted Fate,Middle,52.32%,4.58%,0.13%,6.17,5.56,5.68,7.97,8,18471,19793,2814,168.4,1.44,7.60,12062,25,3
166,Twitch,ADC,53.04%,5.71%,0.74%,6.58,8.77,6.38,7.06,12,21826,19097,3077,182.4,2.52,8.92,13125,4,1
167,Twitch,Jungle,48.16%,1.99%,0.74%,9.92,8.56,7.09,6.83,10,19063,23349,6494,57.1,6.64,67.94,12199,29,10
168,Udyr,Jungle,52.46%,3.49%,0.26%,3.74,6.26,5.51,5.79,9,13052,28767,9783,49.4,11.89,75.16,11795,16,5
169,Urgot,Top,51.62%,2.65%,0.34%,3.89,6.55,5.32,5.42,9,18825,24379,2753,176.2,1.49,2.46,11821,20,6
170,Varus,ADC,48.05%,9.78%,0.20%,5.72,6.53,6.05,7.77,12,20650,17347,2967,192.9,1.76,7.00,12594,14,0
171,Vayne,ADC,52.04%,19.60%,2.52%,8.22,8.08,6.45,5.72,11,20369,19815,3554,189.5,2.39,8.19,12917,3,1
172,Veigar,Middle,52.20%,3.75%,0.21%,4.50,7.56,6.00,6.16,11,21536,17867,1695,178.5,1.61,6.94,12159,13,5
173,Veigar,Support,47.49%,1.03%,0.21%,7.59,5.47,7.03,9.09,8,16770,17258,1415,54.6,0.78,2.04,10871,28,2
174,Vel'Koz,Middle,52.38%,2.06%,0.08%,8.48,6.62,5.73,7.62,8,24268,16983,1745,168.3,1.21,5.56,11729,17,1
175,Vel'Koz,Support,49.73%,1.75%,0.08%,9.42,4.79,6.55,9.89,7,21479,16788,1417,46.9,0.61,1.42,10876,17,0
176,Vi,Jungle,52.03%,4.20%,0.08%,4.95,6.96,6.03,7.00,9,15005,25344,7073,41.1,7.95,74.73,11623,22,2
177,Viktor,Middle,46.88%,1.99%,0.02%,5.56,6.01,5.79,6.33,9,21850,17083,1740,184.2,1.77,8.88,11767,38,2
178,Vladimir,Middle,52.56%,3.16%,0.95%,6.72,6.40,5.49,6.23,9,22763,28880,21052,181.3,1.50,3.42,11580,15,6
179,Vladimir,Top,50.73%,2.46%,0.95%,7.62,5.22,5.59,5.77,8,21934,29211,21466,186.8,1.35,2.56,11456,13,7
180,Volibear,Jungle,47.39%,0.94%,0.02%,4.28,5.78,5.49,7.92,9,13427,34380,7214,43.5,6.04,65.98,10944,42,3
181,Volibear,Top,47.22%,0.46%,0.02%,5.03,5.46,5.60,5.97,7,15739,31926,2548,151.6,1.70,2.84,10911,50,3
182,Warwick,Jungle,52.88%,4.53%,0.31%,5.70,6.99,6.02,7.45,9,13556,35486,16226,41.5,7.90,68.20,11458,11,2
183,Wukong,Jungle,51.81%,1.92%,0.12%,6.62,8.01,5.86,6.61,10,17585,26167,8583,48.8,6.86,70.53,11892,17,4
184,Wukong,Top,51.93%,1.71%,0.12%,7.03,7.74,5.95,5.44,10,19726,21776,2645,160.3,1.71,3.11,11816,31,4
