Rank,Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
74,Karthus,Middle,49.89%,0.98%,0.03%,4.71,6.95,6.95,8.67,10,27926,22765,4465,178,2.12,11.55,12277,14,5
,,,,,,,,,,,,,,,,,,,
75,Karthus,Top,50.46%,0.29%,0.03%,10.34,6.13,6.99,7.81,8,26363,22167,4298,187.1,2.45,7.1,12123,11,7
,,,,,,,,,,,,,,,,,,,
76,Kassadin,Middle,49.49%,4.98%,1.39%,5.19,7.65,5.65,5.94,9,19464,23192,3534,153.8,1.49,6.41,11256,27,4
,,,,,,,,,,,,,,,,,,,
77,Katarina,Middle,52.71%,9.58%,2.83%,7.14,10.06,7.16,5.62,11,21798,23294,5317,149.7,1.33,2.82,11963,5,2
,,,,,,,,,,,,,,,,,,,
78,Kayle,Middle,52.59%,0.49%,0.06%,8.38,6.09,6.03,6.58,8,17608,23217,7475,178.8,3.12,10.38,11983,26,4
,,,,,,,,,,,,,,,,,,,
79,Kayle,Top,53.36%,1.50%,0.06%,6.23,5.36,6.08,5.9,9,17791,23332,7251,190.8,3.01,5.98,12060,21,2
,,,,,,,,,,,,,,,,,,,
80,Kayn,Jungle,49.41%,12.74%,2.25%,4.8,8.17,6.76,6.37,12,17594,30631,11913,47.2,9.4,74.43,11909,3,1
,,,,,,,,,,,,,,,,,,,
81,Kennen,Top,49.98%,2.35%,0.09%,4.72,5.44,5.73,6.15,9,19054,19802,2037,169.1,0.91,1.89,11135,36,7
,,,,,,,,,,,,,,,,,,,
82,Kha'Zix,Jungle,50.77%,13.07%,1.62%,7.25,8.95,5.84,5.61,12,17120,28378,11911,37,10.32,71.18,11767,2,1
,,,,,,,,,,,,,,,,,,,
83,Kindred,Jungle,50.97%,4.25%,0.20%,4.13,7.32,6.71,6.89,11,18108,24465,11083,46.5,11.92,67.12,11672,21,2
,,,,,,,,,,,,,,,,,,,
84,Kled,Top,49.41%,1.78%,0.11%,6.92,5.98,5.74,7.13,9,16895,33154,2983,155.5,1.75,2.72,11277,38,7
,,,,,,,,,,,,,,,,,,,
85,Kog'Maw,ADC,51.44%,3.68%,0.23%,4.73,8.22,6.94,6.83,10,24149,19700,3407,184.9,2.14,9.55,12988,8,2
,,,,,,,,,,,,,,,,,,,
86,LeBlanc,Middle,49.01%,4.20%,0.81%,5.78,7.92,5.75,6.14,11,18995,20290,4606,133.7,1.39,5.63,10968,36,2
,,,,,,,,,,,,,,,,,,,
